time,values,Mode,Median,50percentile,37percentile
01:56.9,11,,,,
01:57.4,10,,,,
01:57.8,11,,,,
01:57.8,10,,,,
01:58.0,9,,,,
01:58.3,10,,,,
01:58.5,9,,,,
01:58.7,10,,,,
02:00.3,9,,,,
02:01.6,8,,,,
02:02.3,9,,,,
02:02.4,8,,,,
02:02.8,9,,,,
02:04.0,8,,,,
02:04.2,7,,,,
02:04.3,6,,,,
02:04.9,7,,,,
02:05.0,8,,,,
02:06.4,7,,,,
02:06.4,8,,,,
02:08.8,7,,,,
02:09.0,8,,,,
02:10.3,9,,,,
02:10.4,8,,,,
02:12.4,9,,,,
02:12.4,10,,,,
02:13.2,9,,,,
02:13.5,10,,,,
02:14.2,9,,,,
02:14.4,10,,,,
02:14.6,9,,,,
02:15.1,10,,,,
02:15.6,11,,,,
02:15.6,12,,,,
02:16.4,11,,,,
02:16.9,10,,,,
02:17.0,9,,,,
02:17.8,8,,,,
02:18.4,7,,,,
02:18.9,6,,,,
02:19.3,7,,,,
02:19.4,8,,,,
02:20.2,9,,,,
02:22.4,8,,,,
02:22.7,7,,,,
02:23.6,8,,,,
02:24.2,7,,,,
02:25.1,6,,,,
02:25.5,7,,,,
02:25.6,8,,,,
02:25.9,7,,,,
02:26.1,6,,,,
02:26.2,5,,,,
02:28.1,6,,,,
02:28.3,7,,,,
02:28.6,6,,,,
02:29.8,7,,,,
02:30.1,8,,,,
02:30.3,7,,,,
02:30.4,8,,,,
02:30.8,7,,,,
02:31.1,8,,,,
02:31.2,9,,,,
02:33.8,10,,,,
02:33.8,9,,,,
02:34.4,10,,,,
02:35.8,11,,,,
02:36.1,12,,,,
02:36.7,11,,,,
02:37.3,10,,,,
02:37.4,11,,,,
02:38.2,12,,,,
02:38.6,11,,,,
02:38.9,12,,,,
02:40.1,13,,,,
02:40.2,12,,,,
02:40.3,11,,,,
02:40.5,10,,,,
02:40.5,9,,,,
02:40.6,10,,,,
02:40.8,9,,,,
02:41.4,8,,,,
02:42.3,7,,,,
02:42.5,8,,,,
02:43.0,9,,,,
02:43.3,10,,,,
02:43.4,11,,,,
02:44.3,12,,,,
02:44.8,11,,,,
02:44.8,10,,,,
02:45.4,9,,,,
02:47.4,10,,,,
02:47.9,11,,,,
02:48.6,10,,,,
02:49.1,9,,,,
02:50.0,10,,,,
02:50.0,11,,,,
02:50.5,10,,,,
02:51.0,9,,,,
02:51.4,10,,,,
02:51.5,9,,,,
02:52.2,8,,,,
02:52.4,9,,,,
02:52.8,8,,,,
02:53.3,9,,,,
02:54.1,8,,,,
02:54.3,9,,,,
02:55.4,8,,,,
02:56.4,9,,,,
02:56.7,8,,,,
02:58.0,9,,,,
02:58.4,8,,,,
02:58.6,7,,,,
02:58.7,8,,,,
02:59.0,9,,,,
02:59.2,8,,,,
03:00.1,7,,,,
03:01.4,6,,,,
03:01.7,7,,,,
03:02.7,6,,,,
03:02.9,5,,,,
03:03.4,6,,,,
03:03.6,5,,,,
03:05.1,4,,,,
03:09.9,3,,,,
03:10.5,2,,,,
03:10.8,3,,,,
03:12.4,2,,,,
03:16.5,1,,,,
03:18.8,2,,,,
03:19.5,3,,,,
03:20.6,2,,,,
03:23.4,3,,,,
03:26.6,4,,,,
03:26.9,5,,,,
03:27.3,6,,,,
03:29.5,7,,,,
03:29.6,6,,,,
03:30.6,5,,,,
03:31.6,6,,,,
03:32.1,7,,,,
03:32.6,8,,,,
03:32.8,9,,,,
03:32.9,8,,,,
03:34.4,7,,,,
03:35.6,6,,,,
03:36.3,5,,,,
03:36.6,4,,,,
03:37.8,5,,,,
03:38.6,6,,,,
03:38.6,7,,,,
03:39.6,6,,,,
03:40.1,5,,,,
03:40.4,6,,,,
03:40.9,7,,,,
03:43.1,8,,,,
03:43.4,7,,,,
03:44.6,8,,,,
03:45.1,7,,,,
03:45.3,8,,,,
03:45.4,9,,,,
03:45.6,10,,,,
03:45.6,9,,,,
03:46.5,8,,,,
03:48.4,9,,,,
03:49.4,8,,,,
03:49.9,9,,,,
03:50.9,10,,,,
03:51.3,9,,,,
03:52.1,10,,,,
03:52.1,9,,,,
03:52.4,10,,,,
03:52.5,11,,,,
03:53.1,10,,,,
03:54.7,9,,,,
03:55.4,10,,,,
03:56.1,9,,,,
03:57.4,10,,,,
03:57.9,9,,,,
03:59.0,8,,,,
03:59.3,9,,,,
04:00.0,8,,,,
04:00.4,9,,,,
04:02.6,8,,,,
04:02.7,9,,,,
04:04.1,10,,,,
04:05.1,9,,,,
04:05.4,8,,,,
04:06.2,7,,,,
04:08.0,6,,,,
04:08.3,5,,,,
04:08.7,6,,,,
04:09.4,5,,,,
04:09.9,6,,,,
04:10.0,7,,,,
04:11.6,6,,,,
04:11.8,5,,,,
04:12.0,6,,,,
04:14.3,7,,,,
04:15.3,8,,,,
04:15.5,7,,,,
04:15.7,8,,,,
04:16.6,7,,,,
04:17.0,8,,,,
04:17.7,7,,,,
04:18.1,8,,,,
04:18.4,9,,,,
04:19.2,8,,,,
04:20.6,9,,,,
04:22.5,10,,,,
04:23.8,9,,,,
04:24.3,8,,,,
04:24.6,9,,,,
04:24.8,10,,,,
04:25.0,11,,,,
04:25.0,10,,,,
04:25.6,11,,,,
04:26.6,12,,,,
04:27.3,13,,,,
04:27.6,12,,,,
04:28.2,11,,,,
04:29.6,12,,,,
04:29.7,11,,,,
04:30.9,10,,,,
04:31.2,11,,,,
04:31.6,10,,,,
04:33.0,11,,,,
04:33.1,12,,,,
04:33.6,11,,,,
04:34.2,10,,,,
04:34.4,11,,,,
04:35.0,12,,,,
04:35.2,11,,,,
04:36.0,10,,,,
04:36.3,11,,,,
04:37.1,10,,,,
04:37.6,11,,,,
04:38.8,10,,,,
04:38.9,9,,,,
04:40.6,10,,,,
04:40.9,9,,,,
04:42.0,8,,,,
04:42.8,7,,,,
04:43.2,8,,,,
04:43.4,7,,,,
04:43.6,6,,,,
04:43.9,5,,,,
04:45.0,4,,,,
04:45.1,3,,,,
04:46.6,2,,,,
04:47.3,3,,,,
04:47.3,4,,,,
04:49.4,5,,,,
04:49.8,6,,,,
04:50.3,5,,,,
04:50.4,6,,,,
04:51.2,7,,,,
04:51.7,8,,,,
04:52.0,9,,,,
04:53.3,10,,,,
04:55.3,11,,,,
04:55.6,10,,,,
04:55.6,9,,,,
04:55.6,10,,,,
04:57.3,11,,,,
04:57.3,12,,,,
04:57.7,11,,,,
04:58.3,12,,,,
04:58.4,11,,,,
05:00.7,10,,,,
05:01.4,9,,,,
05:02.0,8,,,,
05:02.5,7,,,,
05:03.3,8,,,,
05:04.6,7,,,,
05:04.9,6,,,,
05:05.5,7,,,,
05:05.6,8,,,,
05:06.7,9,,,,
05:07.3,8,,,,
05:09.2,7,,,,
05:09.6,6,,,,
05:11.5,5,,,,
05:11.6,6,,,,
05:12.1,5,,,,
05:12.2,6,,,,
05:12.5,7,,,,
05:12.5,6,,,,
05:12.9,5,,,,
05:15.4,4,,,,
05:15.9,5,,,,
05:16.6,6,,,,
05:17.7,7,,,,
05:18.2,8,,,,
05:18.2,9,,,,
05:19.6,8,,,,
05:22.4,9,,,,
05:22.5,8,,,,
05:24.1,7,,,,
05:25.1,6,,,,
05:25.6,7,,,,
05:25.7,8,,,,
05:27.1,7,,,,
05:27.2,8,,,,
05:27.6,9,,,,
05:28.5,8,,,,
05:29.2,9,,,,
05:30.6,8,,,,
05:31.6,7,,,,
05:31.9,6,,,,
05:32.1,5,,,,
05:33.4,4,,,,
05:34.1,5,,,,
05:34.7,4,,,,
05:34.9,5,,,,
05:35.2,6,,,,
05:36.5,5,,,,
05:36.7,4,,,,
05:37.0,5,,,,
05:37.7,6,,,,
05:37.9,5,,,,
05:38.3,6,,,,
05:40.5,7,,,,
05:42.4,8,,,,
05:42.7,7,,,,
05:42.7,8,,,,
05:44.1,7,,,,
05:44.3,8,,,,
05:44.8,7,,,,
05:45.9,8,,,,
05:46.0,7,,,,
05:46.5,6,,,,
05:46.8,5,,,,
05:46.9,6,,,,
05:48.6,5,,,,
05:50.8,6,,,,
05:51.2,5,,,,
05:51.3,6,,,,
05:52.7,7,,,,
05:53.4,6,,,,
05:54.8,7,,,,
05:55.5,6,,,,
05:55.9,7,,,,
05:56.1,8,,,,
05:58.8,7,,,,
05:58.9,8,,,,
06:00.2,9,,,,
06:00.6,8,,,,
06:02.3,7,,,,
06:02.7,6,,,,
06:03.5,7,,,,
06:05.2,6,,,,
06:05.9,7,,,,
06:06.2,6,,,,
06:06.4,7,,,,
06:07.1,6,,,,
06:09.8,7,,,,
06:10.9,6,,,,
06:10.9,7,,,,
06:12.7,6,,,,
06:14.0,7,,,,
06:14.6,8,,,,
06:15.1,9,,,,
06:15.2,8,,,,
06:16.2,7,,,,
06:18.7,6,,,,
06:19.9,5,,,,
06:20.2,4,,,,
06:21.1,5,,,,
06:21.1,6,,,,
06:21.7,7,,,,
06:22.0,6,,,,
06:23.6,5,,,,
06:23.7,4,,,,
06:25.2,5,,,,
06:26.8,4,,,,
06:27.3,5,,,,
06:28.3,6,,,,
06:28.5,7,,,,
06:29.3,8,,,,
06:31.1,9,,,,
06:31.2,8,,,,
06:31.3,9,,,,
06:32.1,8,,,,
06:33.3,9,,,,
06:33.7,8,,,,
06:34.2,7,,,,
06:34.3,8,,,,
06:34.5,9,,,,
06:34.5,8,,,,
06:34.9,9,,,,
06:35.1,10,,,,
06:36.3,9,,,,
06:36.3,10,,,,
06:36.8,9,,,,
06:37.8,8,,,,
06:38.6,9,,,,
06:42.1,10,,,,
06:42.2,9,,,,
06:42.9,8,,,,
06:43.3,7,,,,
06:44.2,6,,,,
06:44.5,5,,,,
06:45.4,4,,,,
06:46.6,5,,,,
06:47.4,6,,,,
06:48.3,7,,,,
06:49.6,6,,,,
06:50.6,5,,,,
06:50.6,6,,,,
06:52.6,7,,,,
06:54.8,6,,,,
06:54.8,7,,,,
06:56.1,6,,,,
06:57.4,7,,,,
06:57.4,6,,,,
06:58.1,5,,,,
06:59.2,6,,,,
06:59.8,7,,,,
07:00.6,6,,,,
07:01.5,7,,,,
07:01.6,8,,,,
07:01.6,7,,,,
07:02.4,6,,,,
07:03.2,7,,,,
07:06.1,6,,,,
07:07.1,5,,,,
07:08.0,4,,,,
07:12.2,5,,,,
07:12.3,6,,,,
07:12.4,7,,,,
07:13.5,6,,,,
07:14.6,5,,,,
07:15.6,4,,,,
07:15.7,5,,,,
07:16.4,6,,,,
07:16.7,7,,,,
07:19.0,8,,,,
07:19.6,7,,,,
07:22.2,8,,,,
07:22.7,7,,,,
07:23.3,6,,,,
07:23.4,5,,,,
07:23.6,4,,,,
07:23.7,3,,,,
07:24.5,4,,,,
07:24.6,5,,,,
07:25.7,6,,,,
07:27.6,5,,,,
07:30.5,4,,,,
07:30.6,5,,,,
07:33.5,6,,,,
07:33.7,5,,,,
07:34.1,4,,,,
07:35.3,5,,,,
07:35.6,6,,,,
07:37.9,7,,,,
07:38.1,8,,,,
07:38.4,9,,,,
07:38.4,10,,,,
07:39.1,11,,,,
07:39.6,12,,,,
07:39.6,11,,,,
07:40.1,10,,,,
07:40.5,9,,,,
07:40.6,8,,,,
07:42.8,7,,,,
07:44.4,8,,,,
07:44.8,9,,,,
07:45.5,10,,,,
07:47.1,11,,,,
07:47.4,12,,,,
07:48.1,13,,,,
07:48.1,12,,,,
07:48.8,13,,,,
07:49.1,12,,,,
07:49.3,11,,,,
07:50.5,10,,,,
07:51.9,11,,,,
07:52.4,10,,,,
07:52.4,9,,,,
07:52.4,8,,,,
07:53.8,7,,,,
07:54.4,8,,,,
07:54.5,7,,,,
07:55.1,6,,,,
07:57.3,7,,,,
07:58.1,8,,,,
07:58.8,9,,,,
07:59.7,10,,,,
07:59.8,11,,,,
08:00.1,10,,,,
08:01.1,9,,,,
08:01.6,8,,,,
08:02.1,9,,,,
08:02.1,8,,,,
08:02.8,7,,,,
08:03.5,6,,,,
08:04.0,5,,,,
08:04.3,6,,,,
08:05.5,5,,,,
08:05.7,6,,,,
08:05.7,5,,,,
08:05.8,6,,,,
08:09.1,5,,,,
08:09.6,6,,,,
08:11.8,7,,,,
08:13.0,8,,,,
08:13.6,7,,,,
08:14.5,6,,,,
08:15.0,5,,,,
08:15.7,6,,,,
08:16.1,5,,,,
08:17.2,6,,,,
08:19.5,7,,,,
08:20.1,8,,,,
08:20.8,7,,,,
08:21.0,8,,,,
08:21.1,9,,,,
08:21.6,10,,,,
08:22.0,11,,,,
08:22.6,10,,,,
08:23.0,9,,,,
08:23.8,10,,,,
08:24.6,9,,,,
08:27.1,10,,,,
08:28.2,9,,,,
08:28.2,10,,,,
08:29.1,11,,,,
08:29.6,10,,,,
08:29.7,9,,,,
08:31.0,10,,,,
08:31.2,9,,,,
08:32.0,8,,,,
08:32.2,7,,,,
08:32.6,6,,,,
08:33.8,5,,,,
08:34.1,6,,,,
08:34.5,7,,,,
08:34.6,6,,,,
08:35.2,7,,,,
08:35.8,6,,,,
08:37.2,5,,,,
08:38.4,6,,,,
08:39.8,7,,,,
08:40.7,6,,,,
08:41.3,5,,,,
08:41.4,6,,,,
08:42.1,7,,,,
08:44.0,6,,,,
08:44.1,7,,,,
08:44.5,8,,,,
08:45.6,9,,,,
08:46.4,8,,,,
08:47.2,7,,,,
08:47.5,6,,,,
08:48.2,7,,,,
08:48.8,8,,,,
08:49.1,9,,,,
08:49.7,10,,,,
08:50.8,11,,,,
08:51.2,12,,,,
08:51.5,13,,,,
08:53.2,12,,,,
08:53.3,13,,,,
08:54.1,12,,,,
08:55.0,11,,,,
08:55.1,10,,,,
08:55.2,9,,,,
08:55.4,8,,,,
08:56.4,9,,,,
08:56.7,8,,,,
08:57.5,7,,,,
08:57.8,6,,,,
08:57.8,5,,,,
08:58.7,6,,,,
08:59.8,7,,,,
09:00.6,6,,,,
09:00.7,7,,,,
09:01.0,8,,,,
09:01.4,9,,,,
09:01.6,8,,,,
09:02.2,9,,,,
09:02.2,8,,,,
09:03.2,7,,,,
09:04.4,8,,,,
09:04.9,9,,,,
09:05.2,10,,,,
09:06.7,11,,,,
09:09.0,10,,,,
09:09.2,11,,,,
09:11.9,12,,,,
09:12.4,13,,,,
09:12.7,12,,,,
09:13.2,11,,,,
09:13.6,10,,,,
09:13.6,9,,,,
09:13.7,8,,,,
09:13.8,9,,,,
09:15.2,8,,,,
09:15.5,7,,,,
09:15.9,8,,,,
09:17.0,7,,,,
09:17.2,6,,,,
09:17.3,5,,,,
09:18.9,6,,,,
09:20.0,5,,,,
09:20.5,4,,,,
09:22.6,5,,,,
09:22.7,6,,,,
09:22.8,5,,,,
09:23.7,6,,,,
09:25.3,7,,,,
09:26.5,6,,,,
09:26.8,5,,,,
09:28.5,6,,,,
09:28.6,5,,,,
09:28.8,4,,,,
09:29.5,5,,,,
09:33.7,6,,,,
09:33.7,5,,,,
09:34.8,6,,,,
09:35.9,5,,,,
09:36.1,6,,,,
09:38.8,7,,,,
09:40.3,6,,,,
09:41.7,7,,,,
09:41.8,6,,,,
09:42.7,5,,,,
09:42.9,6,,,,
09:43.1,5,,,,
09:44.5,4,,,,
09:46.2,3,,,,
09:47.7,4,,,,
09:48.0,5,,,,
09:48.7,6,,,,
09:48.8,7,,,,
09:50.7,8,,,,
09:51.7,7,,,,
09:52.7,6,,,,
09:53.3,5,,,,
09:55.4,4,,,,
09:55.8,5,,,,
09:56.9,6,,,,
09:59.5,7,,,,
09:59.8,8,,,,
09:59.8,7,,,,
10:02.0,8,,,,
10:02.0,7,,,,
10:02.2,8,,,,
10:02.9,7,,,,
10:04.0,6,,,,
10:05.4,7,,,,
10:06.3,6,,,,
10:06.5,7,,,,
10:06.8,6,,,,
10:06.8,5,,,,
10:06.8,6,,,,
10:09.8,7,,,,
10:11.8,6,,,,
10:12.0,7,,,,
10:12.0,6,,,,
10:12.1,5,,,,
10:12.3,6,,,,
10:12.3,7,,,,
10:12.4,6,,,,
10:12.4,7,,,,
10:12.7,8,,,,
10:13.4,9,,,,
10:17.3,10,,,,
10:17.4,11,,,,
10:17.8,10,,,,
10:18.2,9,,,,
10:18.8,10,,,,
10:20.1,9,,,,
10:21.3,8,,,,
10:21.4,7,,,,
10:21.4,6,,,,
10:21.8,7,,,,
10:23.2,8,,,,
10:23.8,9,,,,
10:24.6,8,,,,
10:24.7,9,,,,
10:25.4,8,,,,
10:27.4,9,,,,
10:27.4,10,,,,
10:28.2,9,,,,
10:28.2,8,,,,
10:28.3,9,,,,
10:28.4,8,,,,
10:29.1,9,,,,
10:29.2,10,,,,
10:29.4,9,,,,
10:30.3,8,,,,
10:30.4,9,,,,
10:32.3,10,,,,
10:32.4,11,,,,
10:35.8,10,,,,
10:36.2,9,,,,
10:36.2,10,,,,
10:38.4,9,,,,
10:39.4,8,,,,
10:39.6,9,,,,
10:40.0,8,,,,
10:40.3,9,,,,
10:40.4,10,,,,
10:40.7,9,,,,
10:42.3,10,,,,
10:42.4,9,,,,
10:42.6,8,,,,
10:42.8,9,,,,
10:44.4,10,,,,
10:44.8,11,,,,
10:45.1,12,,,,
10:45.3,13,,,,
10:46.1,12,,,,
10:46.2,11,,,,
10:46.3,12,,,,
10:46.6,11,,,,
10:46.7,10,,,,
10:47.1,9,,,,
10:48.0,10,,,,
10:48.2,9,,,,
10:48.4,8,,,,
10:48.8,9,,,,
10:48.9,8,,,,
10:50.5,9,,,,
10:51.4,10,,,,
10:51.8,9,,,,
10:51.9,10,,,,
10:53.4,11,,,,
10:53.8,10,,,,
10:53.8,11,,,,
10:53.9,10,,,,
10:53.9,11,,,,
10:54.6,12,,,,
10:54.7,13,,,,
10:54.9,14,,,,
10:55.2,13,,,,
10:55.4,12,,,,
10:57.0,13,,,,
10:58.1,14,,,,
10:58.1,13,,,,
10:58.3,12,,,,
10:58.3,13,,,,
10:58.5,14,,,,
10:58.8,13,,,,
10:58.9,14,,,,
10:59.3,15,,,,
10:59.4,16,,,,
10:59.9,15,,,,
11:01.8,14,,,,
11:02.4,13,,,,
11:02.7,14,,,,
11:03.9,13,,,,
11:03.9,12,,,,
11:04.8,11,,,,
11:05.4,10,,,,
11:06.0,9,,,,
11:06.3,8,,,,
11:07.9,7,,,,
11:08.3,8,,,,
11:08.6,7,,,,
11:08.8,6,,,,
11:10.1,5,,,,
11:10.3,6,,,,
11:10.9,5,,,,
11:11.4,4,,,,
11:12.7,3,,,,
11:16.6,4,,,,
11:17.1,5,,,,
11:18.1,4,,,,
11:18.9,5,,,,
11:19.6,4,,,,
11:20.2,5,,,,
11:20.2,6,,,,
11:20.2,7,,,,
11:23.6,8,,,,
11:23.9,9,,,,
11:24.2,10,,,,
11:25.3,11,,,,
11:26.1,12,,,,
11:26.2,13,,,,
11:26.6,12,,,,
11:26.6,13,,,,
11:27.1,12,,,,
11:29.3,11,,,,
11:29.6,12,,,,
11:30.5,11,,,,
11:30.5,12,,,,
11:30.7,13,,,,
11:31.2,12,,,,
11:31.2,11,,,,
11:31.2,10,,,,
11:32.1,9,,,,
11:33.0,8,,,,
11:33.3,9,,,,
11:33.9,8,,,,
11:34.6,7,,,,
11:35.6,8,,,,
11:36.3,7,,,,
11:36.6,6,,,,
11:37.7,5,,,,
11:37.7,6,,,,
11:37.9,7,,,,
11:38.5,8,,,,
11:40.0,7,,,,
11:40.5,6,,,,
11:41.5,5,,,,
11:42.1,6,,,,
11:42.3,7,,,,
11:43.9,8,,,,
11:44.3,7,,,,
11:44.3,8,,,,
11:45.7,9,,,,
11:46.1,8,,,,
11:48.3,9,,,,
11:48.6,8,,,,
11:48.7,7,,,,
11:49.5,6,,,,
11:50.3,7,,,,
11:50.9,6,,,,
11:51.3,7,,,,
11:52.2,8,,,,
11:52.3,9,,,,
11:52.5,8,,,,
11:53.1,7,,,,
11:54.1,6,,,,
11:55.0,5,,,,
11:55.3,6,,,,
11:56.4,7,,,,
11:56.5,8,,,,
11:58.3,9,,,,
12:02.2,8,,,,
12:02.9,9,,,,
12:03.2,8,,,,
12:04.0,7,,,,
12:04.3,6,,,,
12:04.4,5,,,,
12:05.5,4,,,,
12:07.5,3,,,,
12:07.5,2,,,,
12:08.1,3,,,,
12:08.2,4,,,,
12:12.7,5,,,,
12:13.3,6,,,,
12:13.4,7,,,,
12:13.5,8,,,,
12:14.0,7,,,,
12:15.2,8,,,,
12:16.2,9,,,,
12:16.6,8,,,,
12:17.2,9,,,,
12:18.1,8,,,,
12:18.6,7,,,,
12:19.3,8,,,,
12:19.3,7,,,,
12:20.2,8,,,,
12:20.4,7,,,,
12:20.6,8,,,,
12:21.6,9,,,,
12:21.9,10,,,,
12:22.4,11,,,,
12:24.6,10,,,,
12:24.7,9,,,,
12:25.0,8,,,,
12:25.9,7,,,,
12:26.3,8,,,,
12:27.6,7,,,,
12:27.6,8,,,,
12:28.5,7,,,,
12:29.2,8,,,,
12:29.3,9,,,,
12:29.6,10,,,,
12:29.8,9,,,,
12:31.4,10,,,,
12:31.6,9,,,,
12:31.9,8,,,,
12:32.9,7,,,,
12:33.9,6,,,,
12:35.6,7,,,,
12:35.8,6,,,,
12:37.8,5,,,,
12:38.2,6,,,,
12:38.2,5,,,,
12:39.3,6,,,,
12:40.3,7,,,,
12:40.6,6,,,,
12:41.5,7,,,,
12:42.3,8,,,,
12:43.0,7,,,,
12:43.7,8,,,,
12:44.5,9,,,,
12:44.5,10,,,,
12:44.8,11,,,,
12:45.5,10,,,,
12:47.2,9,,,,
12:47.5,8,,,,
12:48.0,9,,,,
12:48.6,8,,,,
12:48.9,7,,,,
12:51.5,6,,,,
12:52.5,5,,,,
12:52.7,6,,,,
12:53.5,5,,,,
12:54.9,4,,,,
12:55.5,5,,,,
12:56.4,4,,,,
12:56.5,5,,,,
12:56.5,6,,,,
12:56.5,7,,,,
12:57.5,6,,,,
12:59.6,7,,,,
13:02.0,8,,,,
13:02.5,9,,,,
13:02.7,8,,,,
13:04.5,9,,,,
13:04.5,8,,,,
13:04.6,7,,,,
13:04.7,6,,,,
13:06.0,7,,,,
13:06.4,6,,,,
13:06.9,5,,,,
13:07.8,4,,,,
13:09.7,5,,,,
13:11.5,4,,,,
13:14.7,3,,,,
13:18.4,2,,,,
13:18.8,3,,,,
13:18.9,2,,,,
13:20.7,3,,,,
13:21.0,4,,,,
13:22.9,5,,,,
13:23.5,6,,,,
13:24.7,7,,,,
13:25.0,8,,,,
13:26.2,9,,,,
13:27.0,10,,,,
13:29.3,11,,,,
13:31.4,12,,,,
13:31.9,11,,,,
13:32.7,10,,,,
13:32.9,9,,,,
13:34.0,8,,,,
13:34.5,7,,,,
13:34.7,6,,,,
13:35.0,5,,,,
13:35.0,4,,,,
13:36.2,3,,,,
13:39.2,4,,,,
13:39.3,3,,,,
13:41.4,2,,,,
13:41.5,3,,,,
13:43.0,4,,,,
13:44.5,5,,,,
13:45.0,6,,,,
13:46.2,7,,,,
13:48.5,6,,,,
13:49.3,5,,,,
13:49.4,6,,,,
13:50.5,7,,,,
13:50.9,6,,,,
13:51.1,7,,,,
13:51.7,8,,,,
13:52.3,9,,,,
13:53.4,10,,,,
13:53.6,9,,,,
13:55.0,10,,,,
13:55.1,9,,,,
13:55.4,10,,,,
13:58.9,9,,,,
13:59.3,8,,,,
13:59.7,7,,,,
13:59.7,6,,,,
14:00.2,7,,,,
14:01.1,8,,,,
14:02.0,7,,,,
14:02.3,8,,,,
14:04.1,9,,,,
14:04.1,10,,,,
14:04.3,11,,,,
14:05.0,10,,,,
14:06.1,9,,,,
14:07.6,8,,,,
14:07.7,7,,,,
14:08.0,8,,,,
14:08.3,7,,,,
14:10.7,6,,,,
14:12.0,5,,,,
14:12.6,6,,,,
14:13.0,7,,,,
14:14.3,8,,,,
14:15.5,9,,,,
14:15.8,10,,,,
